Referencia,Fecha,Dia,Estacion,Activa E,Activa S,Reactiva1,Reactiva2,Reactiva3,Reactiva4,p,q
SAG0125356666,2018-05-10 12:00:00,10/05/2018 00:00,S,0.005,0.0,0.0,0.0,0.0,0.015,50.0,-150.0
SAG0125358071,2018-05-10 12:00:00,10/05/2018 00:00,S,0.047,0.0,0.008,0.0,0.0,0.027,470.0,-190.0
SAG0125358072,2018-05-10 12:00:00,10/05/2018 00:00,S,0.045,0.0,0.0,0.0,0.0,0.031,450.0,-310.0
SAG0125358073,2018-05-10 12:00:00,10/05/2018 00:00,S,0.05,0.0,0.0,0.0,0.0,0.148,500.0,-1480.0
SAG0125358074,2018-05-10 12:00:00,10/05/2018 00:00,S,0.57,0.0,0.352,0.0,0.0,0.0,5700.0,3520.0
SAG0125358075,2018-05-10 12:00:00,10/05/2018 00:00,S,0.06,0.0,0.017,0.0,0.0,0.049,600.0,-320.0
SAG0125358077,2018-05-10 12:00:00,10/05/2018 00:00,S,0.063,0.0,0.0,0.0,0.0,0.039,630.0,-390.0
SAG0125358078,2018-05-10 12:00:00,10/05/2018 00:00,S,0.186,0.0,0.121,0.0,0.0,0.0,1860.0,1210.0
SAG0125358079,2018-05-10 12:00:00,10/05/2018 00:00,S,0.699,0.0,0.001,0.0,0.0,0.1,6990.0,-990.0
SAG0125358080,2018-05-10 12:00:00,10/05/2018 00:00,S,0.046,0.0,0.066,0.0,0.0,0.004,460.0,620.0
SAG0125358131,2018-05-10 12:00:00,10/05/2018 00:00,S,0.147,0.0,0.0,0.0,0.0,0.015,1470.0,-150.0
SAG0125358132,2018-05-10 12:00:00,10/05/2018 00:00,S,0.06,0.0,0.077,0.0,0.0,0.007,600.0,699.9999999999999
SAG0125358133,2018-05-10 12:00:00,10/05/2018 00:00,S,0.241,0.0,0.027,0.0,0.0,0.019,2410.0,80.0
SAG0125358134,2018-05-10 12:00:00,10/05/2018 00:00,S,0.105,0.0,0.099,0.0,0.0,0.0,1050.0,990.0
SAG0125358135,2018-05-10 12:00:00,10/05/2018 00:00,S,0.034,0.0,0.009,0.0,0.0,0.033,340.0,-240.0
SAG0125358136,2018-05-10 12:00:00,10/05/2018 00:00,S,0.26,0.0,0.141,0.0,0.0,0.015,2600.0,1260.0
SAG0125358137,2018-05-10 12:00:00,10/05/2018 00:00,S,0.04,0.0,0.025,0.0,0.0,0.019,400.0,60.000000000000014
SAG0125358138,2018-05-10 12:00:00,10/05/2018 00:00,S,0.054,0.0,0.016,0.0,0.0,0.01,540.0,60.0
SAG0125358139,2018-05-10 12:00:00,10/05/2018 00:00,S,0.046,0.0,0.047,0.0,0.0,0.011,460.0,360.00000000000006
SAG0125358140,2018-05-10 12:00:00,10/05/2018 00:00,S,0.109,0.0,0.073,0.0,0.0,0.015,1090.0,579.9999999999999
SAG0125358142,2018-05-10 12:00:00,10/05/2018 00:00,S,0.114,0.0,0.0,0.0,0.0,0.03,1140.0,-300.0
SAG0125358166,2018-05-10 12:00:00,10/05/2018 00:00,S,0.816,0.0,0.039,0.0,0.0,0.086,8160.0,-469.99999999999994
SAG0125358182,2018-05-10 12:00:00,10/05/2018 00:00,S,0.035,0.0,0.0,0.0,0.0,0.027,350.0,-270.0
SAG0125358183,2018-05-10 12:00:00,10/05/2018 00:00,S,0.197,0.0,0.0,0.0,0.0,0.161,1970.0,-1610.0
SAG0125358184,2018-05-10 12:00:00,10/05/2018 00:00,S,0.137,0.0,0.202,0.0,0.0,0.0,1370.0,2020.0
SAG0125358185,2018-05-10 12:00:00,10/05/2018 00:00,S,0.216,0.0,0.073,0.0,0.0,0.016,2160.0,569.9999999999999
SAG0125358186,2018-05-10 12:00:00,10/05/2018 00:00,S,0.041,0.0,0.0,0.0,0.0,0.047,410.0,-470.0
SAG0125358187,2018-05-10 12:00:00,10/05/2018 00:00,S,0.637,0.0,0.27,0.0,0.0,0.0,6370.0,2700.0
SAG0125358188,2018-05-10 12:00:00,10/05/2018 00:00,S,0.026,0.0,0.0,0.0,0.0,0.021,260.0,-210.0
SAG0125358190,2018-05-10 12:00:00,10/05/2018 00:00,S,0.169,0.0,0.292,0.0,0.0,0.0,1690.0,2920.0
SAG0125358321,2018-05-10 12:00:00,10/05/2018 00:00,S,0.245,0.0,0.173,0.0,0.0,0.001,2450.0,1720.0
SAG0125358322,2018-05-10 12:00:00,10/05/2018 00:00,S,0.194,0.0,0.0,0.0,0.0,0.05,1940.0,-500.0
SAG0125358323,2018-05-10 12:00:00,10/05/2018 00:00,S,0.198,0.0,0.065,0.0,0.0,0.06,1980.0,50.00000000000004
SAG0125358324,2018-05-10 12:00:00,10/05/2018 00:00,S,0.005,0.0,0.008,0.0,0.0,0.0,50.0,80.0
SAG0125358325,2018-05-10 12:00:00,10/05/2018 00:00,S,0.055,0.0,0.032,0.0,0.0,0.0,550.0,320.0
SAG0125358326,2018-05-10 12:00:00,10/05/2018 00:00,S,0.118,0.0,0.0,0.0,0.0,0.031,1180.0,-310.0
SAG0125358327,2018-05-10 12:00:00,10/05/2018 00:00,S,0.361,0.0,0.261,0.0,0.0,0.0,3610.0,2610.0
SAG0125358328,2018-05-10 12:00:00,10/05/2018 00:00,S,0.112,0.0,0.062,0.0,0.0,0.014,1120.0,480.0
SAG0125358330,2018-05-10 12:00:00,10/05/2018 00:00,S,0.227,0.0,0.0,0.0,0.0,0.049,2270.0,-490.0
SAG0125358371,2018-05-10 12:00:00,10/05/2018 00:00,S,1363.0,0.0,0.132,0.0,0.0,0.0,13630000.0,1320.0
SAG0125358372,2018-05-10 12:00:00,10/05/2018 00:00,S,0.24,0.0,0.081,0.0,0.0,0.016,2400.0,650.0
SAG0125358373,2018-05-10 12:00:00,10/05/2018 00:00,S,1327.0,0.0,0.455,0.0,0.0,0.0,13270000.0,4550.0
SAG0125358374,2018-05-10 12:00:00,10/05/2018 00:00,S,0.65,0.0,0.003,0.0,0.0,0.01,6500.0,-70.0
SAG0125358375,2018-05-10 12:00:00,10/05/2018 00:00,S,1.25,0.0,0.364,0.0,0.0,0.0,12500.0,3640.0
SAG0125358376,2018-05-10 12:00:00,10/05/2018 00:00,S,0.006,0.0,0.0,0.0,0.0,0.0,60.0,0.0
SAG0125358377,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG0125358378,2018-05-10 12:00:00,10/05/2018 00:00,S,0.877,0.0,0.214,0.0,0.0,0.01,8770.0,2040.0
SAG0125358379,2018-05-10 12:00:00,10/05/2018 00:00,S,0.083,0.0,0.024,0.0,0.0,0.027,830.0,-29.999999999999993
SAG0125358380,2018-05-10 12:00:00,10/05/2018 00:00,S,0.551,0.0,0.101,0.0,0.0,0.049,5510.0,520.0000000000001
SAG0125358381,2018-05-10 12:00:00,10/05/2018 00:00,S,1333.0,0.0,0.016,0.0,0.0,0.139,13330000.0,-1230.0000000000002
SAG0125358383,2018-05-10 12:00:00,10/05/2018 00:00,S,0.247,0.0,0.327,0.0,0.0,0.0,2470.0,3270.0
SAG0125358384,2018-05-10 12:00:00,10/05/2018 00:00,S,0.308,0.0,0.044,0.0,0.0,0.026,3080.0,180.0
SAG0125358385,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG0125358386,2018-05-10 12:00:00,10/05/2018 00:00,S,0.1,0.0,0.055,0.0,0.0,0.0,1000.0,550.0
SAG0125358387,2018-05-10 12:00:00,10/05/2018 00:00,S,0.164,0.0,0.091,0.0,0.0,0.0,1640.0,910.0
SAG0125358388,2018-05-10 12:00:00,10/05/2018 00:00,S,0.037,0.0,0.022,0.0,0.0,0.037,370.0,-150.0
SAG0125358389,2018-05-10 12:00:00,10/05/2018 00:00,S,0.209,0.0,0.0,0.0,0.0,0.114,2090.0,-1140.0
SAG0125358390,2018-05-10 12:00:00,10/05/2018 00:00,S,0.217,0.0,0.109,0.0,0.0,0.0,2170.0,1090.0
SAG0125358411,2018-05-10 12:00:00,10/05/2018 00:00,S,0.049,0.0,0.0,0.0,0.0,0.045,490.0,-450.0
SAG0125358412,2018-05-10 12:00:00,10/05/2018 00:00,S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAG0125358413,2018-05-10 12:00:00,10/05/2018 00:00,S,0.113,0.0,0.087,0.0,0.0,0.008,1130.0,789.9999999999999
SAG0125358414,2018-05-10 12:00:00,10/05/2018 00:00,S,0.143,0.0,0.054,0.0,0.0,0.006,1430.0,480.0
SAG0125358415,2018-05-10 12:00:00,10/05/2018 00:00,S,0.072,0.0,0.03,0.0,0.0,0.02,720.0,99.99999999999999
SAG0125358416,2018-05-10 12:00:00,10/05/2018 00:00,S,0.282,0.0,0.204,0.0,0.0,0.0,2820.0,2040.0
SAG0125358417,2018-05-10 12:00:00,10/05/2018 00:00,S,0.092,0.0,0.0,0.0,0.0,0.013,920.0,-130.0
SAG0125358418,2018-05-10 12:00:00,10/05/2018 00:00,S,0.169,0.0,0.014,0.0,0.0,0.025,1690.0,-110.00000000000001
SAG0125358420,2018-05-10 12:00:00,10/05/2018 00:00,S,0.058,0.0,0.0,0.0,0.0,0.139,580.0,-1390.0
SAG0125358491,2018-05-10 12:00:00,10/05/2018 00:00,S,1305.0,0.0,2.404,0.0,0.0,0.0,13050000.0,24040.0
SAG0125358492,2018-05-10 12:00:00,10/05/2018 00:00,S,0.077,0.0,0.0,0.0,0.0,0.019,770.0,-190.0
SAG0125358493,2018-05-10 12:00:00,10/05/2018 00:00,S,0.082,0.0,0.046,0.0,0.0,0.014,820.0,320.0
SAG0125358494,2018-05-10 12:00:00,10/05/2018 00:00,S,0.13,0.0,0.001,0.0,0.0,0.033,1300.0,-320.0
SAG0125358495,2018-05-10 12:00:00,10/05/2018 00:00,S,0.129,0.0,0.087,0.0,0.0,0.006,1290.0,809.9999999999999
SAG0125358496,2018-05-10 12:00:00,10/05/2018 00:00,S,0.407,0.0,0.0,0.0,0.0,0.094,4070.0,-940.0
