nodefrom,nodeto,cable,length,kind,PCR
3860655,3358672,BT - Desconocido BT,1.0,Subterráneo,0
3358672,3324464,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",3.82,Subterráneo,0
3324464,1474220,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",8.72,Subterráneo,100593336
3324464,3324057,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",15.0,Subterráneo,0
3324057,3324071,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",12.0,Subterráneo,0
3324071,890011,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",91.0,Subterráneo,0
890011,2500335,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",7.0,Subterráneo,0
890011,890016,"BT - RV 0,6/1 KV 4*95 KAL",2.0,Subterráneo,100262778
3860655,1474118,BT - Desconocido BT,1.0,Subterráneo,0
1474118,3324458,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.0,Subterráneo,0
3324458,3324477,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",5.0,Subterráneo,0
3324477,3324365,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,Subterráneo,0
3324365,42641,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,Subterráneo,0
42641,3541107,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.3,Aéreo,0
3860655,1474125,BT - Desconocido BT,1.0,Subterráneo,0
1474125,3324455,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",4.0,Subterráneo,0
3324455,3324474,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.0,Subterráneo,0
3324474,3324370,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",35.0,Subterráneo,0
3324370,42645,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",35.0,Subterráneo,0
42645,42646,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",26.0,Aéreo,97003861
42646,42647,"BT - RZ 0,6/1 KV 2*16 AL",9.0,Aéreo,15151601
42646,42648,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",17.0,Aéreo,0
42648,42650,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",40.0,Aéreo,15152001
42648,42651,"BT - RZ 0,6/1 KV 2*16 AL",14.0,Aéreo,15130901
42648,42652,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,Aéreo,0
42650,43440,"BT - RZ 0,6/1 KV 4*16 AL",11.0,Aéreo,15131001
42650,43441,"BT - RZ 0,6/1 KV 2*16 AL",10.0,Aéreo,15151801
42650,2524762,BT - MANGUERA,6.0,Aéreo,0
42651,2524787,BT - MANGUERA,3.0,Aéreo,0
42651,2524792,BT - MANGUERA,2.0,Aéreo,15130801
42652,42653,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",39.03,Aéreo,100379614
42652,42653,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",39.03,Aéreo,0
42652,42653,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",39.03,Aéreo,0
42652,42653,"BT - RZ 0,6/1 KV 3*50 AL/54,6 ALM",39.03,Aéreo,100248535
42652,43435,"BT - RZ 0,6/1 KV 4*16 AL",10.51,Aéreo,0
42652,43438,"BT - RZ 0,6/1 KV 2*16 AL",20.0,Aéreo,15116101
42652,2524801,"BT - RZ 0,6/1 KV 3*70 ALM/54,6 AL",47.0,Aéreo,15116301
43435,43436,"BT - RZ 0,6/1 KV 2*16 AL",8.26,Aéreo,0
43435,43437,"BT - RZ 0,6/1 KV 2*16 AL",6.01,Aéreo,15115901
2524801,3501183,"BT - RZ 0,6/1 KV 2*16 AL",10.17,Aéreo,0
3501183,2524806,"BT - RZ 0,6/1 KV 2*16 AL",9.3,Aéreo,0
3860655,1474132,BT - Desconocido BT,1.0,Subterráneo,0
1474132,3324127,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.0,Subterráneo,0
3324127,3225586,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",31.0,Subterráneo,0
3225586,620495,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",22.0,Subterráneo,0
3225586,3380921,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",60.43,Subterráneo,0
620495,3324435,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",22.0,Subterráneo,0
620495,620555,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,100791338
620495,2597284,"BT - RV 0,6/1 KV 4*95 KAL",3.0,Subterráneo,15153101
3380921,1299211,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",5.13,Subterráneo,15176001
3380921,3380931,"BT - RV 0,6/1 KV 4*50 KAL",5.31,Subterráneo,100607434
3324435,620437,"BT - RV 0,6/1 KV 4*95 KAL",4.0,Subterráneo,39056172
