nodefrom,nodeto,cable,length,PCR
3864107,41504,BT - Desconocido BT,1.0,0
41504,41506,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",34.0,4280801
41506,2581233,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",20.0,30917101
41506,2581268,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",36.0,4280601
2581233,2519980,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",8.0,0
2581268,2519983,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",13.0,0
2519983,2581283,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",19.0,4280701
2581283,41509,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",20.07,32494901
3864107,41501,BT - Desconocido BT,1.0,0
41501,2581293,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",26.0,8951101
2581293,2581304,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",37.0,15178902
2581304,2581324,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",11.0,15178901
2581324,1671109,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",12.0,15178801
1671109,3225775,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",63.0,0
1671109,2581349,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",6.0,4284901
3225775,4016741,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",75.3,0
2581349,1671079,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",29.0,4284801
4016741,1664244,"BT - RV 0,6/1 KV 3(1*150 KAL) + 1*95 KAL",13.36,0
1671079,3761560,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",20.32,15156501
1671079,2519984,BT - MANGUERA,15.45,15178601
3761560,2519985,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",2.64,0
3864107,41510,BT - Desconocido BT,1.0,0
41510,2577648,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",22.77,15149401
2577648,2577638,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",18.0,15149201
2577638,2581427,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",56.0,15148901
2581427,2581448,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",28.0,9078702
2581448,2537304,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",15.0,0
2537304,41511,"BT - RZ 0,6/1 KV 3*150 AL/95 ALM",1.0,0
2537304,2537309,"BT - RZ 0,6/1 KV 3*95 AL/54,6 ALM",2.0,15156701
