ID,PCR,Fase
SAG0145400542,15178902,R
SAG0145418571,4284801,R
SAG0145426422,15156701,T
SAG0145426422,15156701,(Mono)
SAG0156201939,4284801,RST
SOG0020028028,4280701,S
SOG0020028029,4280701,S
SOG0020028030,4280701,S
ZIV0034684831,8951101,T
ZIV0034790329,15149401,R
ZIV0034790329,15149401,(Mono)
ZIV0034790330,15149401,T
ZIV0034790330,15149401,(Mono)
ZIV0034790331,15149401,T
ZIV0034790331,15149401,(Mono)
ZIV0034790332,15149401,S
ZIV0034790332,15149401,(Mono)
ZIV0034790334,15149401,T
ZIV0034790334,15149401,(Mono)
ZIV0034790335,15149401,T
ZIV0034790335,15149401,(Mono)
ZIV0034790336,15149401,S
ZIV0034790336,15149401,(Mono)
ZIV0034790337,15149401,T
ZIV0034790337,15149401,(Mono)
ZIV0034790522,15149401,R
ZIV0034790522,15149401,(Mono)
ZIV0034790658,15149401,S
ZIV0034790658,15149401,(Mono)
ZIV0034790663,15149401,S
ZIV0034790663,15149401,(Mono)
ZIV0034790664,15149401,R
ZIV0034790664,15149401,(Mono)
ZIV0034790667,15149401,R
ZIV0034790667,15149401,(Mono)
ZIV0034810536,8951101,T
ZIV0034810654,15149201,(Mono)
ZIV0034810654,15149201,(Mono)
ZIV0034813949,15149401,T
ZIV0034813949,15149401,(Mono)
ZIV0034813950,15149401,(Mono)
ZIV0034813950,15149401,(Mono)
ZIV0034813951,15149401,T
ZIV0034813951,15149401,(Mono)
ZIV0034813956,15149401,R
ZIV0034813956,15149401,(Mono)
ZIV0034813957,15149401,S
ZIV0034813957,15149401,(Mono)
ZIV0034840319,32494901,S
ZIV0034840324,32494901,S
ZIV0034840325,15149201,T
ZIV0034840325,15149201,(Mono)
ZIV0034840326,32494901,T
ZIV0034840326,32494901,(Mono)
ZIV0034840372,32494901,R
ZIV0034840372,32494901,(Mono)
ZIV0034844588,30917101,R
ZIV0034844588,30917101,(Mono)
ZIV0034844602,15149401,S
ZIV0034844602,15149401,(Mono)
ZIV0034849963,15148901,S
ZIV0034849963,15148901,(Mono)
ZIV0034849989,15156501,(Mono)
ZIV0034849989,15156501,R
ZIV0034849990,15156501,S
