node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,1168.7763841635806,540.0741227090232,853.9385225725784,1874.7739513845183,230.71941237791418,232.1235757405815,236.88276195736807,11.646062095632622
2,25714.657246366158,18908.498749683968,20424.22228641831,76129.67542728454,231.57617733055335,263.31852400417546,409.58683943303504,445.64545567930725
3,81419.84713333534,60613.40986956175,64912.1944759473,244641.0538010579,257.0466908777194,334.1093270795072,844.9585928466258,1430.59599842592
4,89162.49127370535,70217.11068893597,68024.38035445815,256588.06470330874,237.5799070918478,336.1169499500365,855.3034212449708,1403.7515551847753
5,108654.31544297774,94953.48764954519,76368.37722157277,286780.6486725353,188.95117743755182,353.21979613110585,882.5934904149892,1336.9746124619278
6,109436.97664116399,95956.55892928725,76716.28226313235,287996.55473909853,187.00758963319956,354.24027627399374,883.7256509511037,1334.3141802783252
7,230.8752482884189,230.9010046771457,230.91954436712084,0.032766183219349765,230.87524828841907,230.9010046771455,230.9195443671208,0.03276618321951226
8,224.2366733179693,226.82973192650155,228.80469045559929,5.112337821764464,224.23667331797398,226.82973192649885,228.80469045559894,5.11233782176767
9,221.65137830035124,225.2129311375411,228.14154006374253,6.141161462460419,221.65137830035724,225.21293113753825,228.14154006374218,6.1411614624647815
10,230.91611531690964,230.91934738771423,230.89846050089483,0.018754747487033752,230.91611531690978,230.9193473877141,230.8984605008948,0.01875474748706844
11,230.3097113259335,230.4017689744292,229.8625650958327,0.727778585069266,230.30971132593638,230.40176897442876,229.86256509583188,0.7277785850688069
12,229.65481657394145,229.84282904497243,228.74398821929603,1.4935928168889905,229.65481657394724,229.84282904497172,228.7439882192943,1.4935928168880153
13,229.33787549192678,229.57392481540086,228.3371425590193,1.7116392016574227,229.3378754919337,229.57392481540023,228.33714255901722,1.7116392016566966
14,229.65882774273368,229.84233997973362,228.4199280222704,1.8879182674871406,229.65882774273967,229.84233997973263,228.41992802226864,1.8879182674851607
15,229.02132491924664,229.33460278801937,228.08372673392793,1.7151765840089417,229.02132491925417,229.33460278801888,228.08372673392543,1.7151765840092261
16,228.8353630675518,229.17208196713779,227.8274150181164,1.8083309241717505,228.8353630675595,229.1720819671369,227.82741501811424,1.8083309241731247
17,230.94010767585033,230.94010767585038,230.94010767585021,6.920714258627999e-14,230.94010767585033,230.94010767585036,230.9401076758503,7.485291613169549e-14
18,230.94010767585033,230.9401076758505,230.9401076758501,1.501517509191319e-13,230.94010767585027,230.94010767585033,230.94010767585038,5.13581223128814e-14
19,230.94010767585047,230.9401076758505,230.94010767585002,2.5306636441811635e-13,230.94010767585016,230.94010767585038,230.94010767585044,1.7709567047455268e-13
20,230.94010767585047,230.94010767585053,230.94010767585,2.8556188954759223e-13,230.94010767585004,230.9401076758505,230.9401076758505,3.3675996587903563e-13
21,563.1750696611716,386.5044243825479,307.57975685449725,797.5899305863543,231.07721670900207,248.83341565929783,214.63832819610434,34.34447184703548
22,23519.38816993337,11154.436675234572,19859.85539867753,57866.02754584266,994.2974448962887,1183.635904138516,750.1609299396555,1991.5487603249765
23,51912.22158364489,24518.785986328447,44040.98787317265,128292.21479352303,2157.893963159112,2359.4324984567243,1879.2725713149496,4407.375369474091
24,60167.75518294034,27619.146874280326,51594.5230465526,137006.89254465754,2255.861614056666,2462.3383320661515,1967.239138118778,4791.874970122245
25,82622.28322187274,35561.69804833744,52037.44358418686,147825.44465419883,2205.344193945007,2413.9681305079416,1918.7642523082066,4671.278399983918
26,86522.23210385042,37149.77327553197,52171.13272920131,153120.17262359534,2183.1018753522217,2393.6507062374467,1898.4966074220415,4628.617780600835
27,86898.2746647954,37331.16341910329,52198.452331133645,153405.26130190215,2179.209181207123,2390.113888264695,1894.9774404963214,4621.202309866436
28,231.1269998429262,230.8208550442644,228.33246493991774,4.675478952029719,231.63979366833468,231.63156611299087,233.77731731234368,6.56849874939444
29,234.21688099582713,227.79256650195217,195.33959378803888,151.09384935398606,249.25241533609025,246.64436755026497,299.10158413353923,199.13819431609704
30,235.72247502204164,227.01667512281207,117.63886497590461,184.56303679619316,258.48374191784006,258.86995673572704,315.29088162724673,266.84257091582356
31,236.58861233385815,226.63956125344254,60.822289277337276,238.2076152214098,266.4898264379589,268.8638737728969,326.94403226819463,318.60178714657286
32,236.99268301824196,226.6652514980465,27.12806638397011,342.4874567829568,280.98448669171813,284.4476184672501,345.1684318688341,401.64144781601647
33,237.7431091470877,225.89584381427272,60.09757997584365,235.4202806770544,264.98369659089036,269.58055058916983,327.7415749534664,315.26398629466235
34,237.65774179190967,226.1591025405986,27.476167277168503,340.93949056306315,280.4406147759143,284.7334302006323,345.42355669437444,400.1596221431553
35,238.61176436218872,225.35074604273603,59.62839655968711,233.17722506189642,263.8150650279599,270.01708820545514,328.4257281073984,312.57682995869544
36,238.61176436218855,225.35074604273618,59.62839655968706,233.1772250618964,263.8150650279606,270.01708820545434,328.42572810739836,312.57682995869664
37,230.85197398420632,230.90744352941886,231.997037377067,1.2277728162362402,230.8519739842063,230.90744352941888,231.997037377067,1.2277728162362262
38,227.06546323746065,228.85812364850895,234.43173196680246,9.322793991251944,227.06546323746076,228.8581236485135,234.4317319668063,9.322793991248401
39,226.72186190318496,228.62698001232812,234.1488162320169,9.43596974213886,226.72186190318484,228.6269800123337,234.14881623202126,9.435969742134926
