node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.92328699393266,230.91943803835673,230.82800505001228,0.1287140566974996,230.92328699392894,230.9194380383593,230.82800505001336,0.1287140566966301
2,230.87829691022895,230.8567841726611,230.74411980488733,0.1397633251638745,230.87829691022563,230.85678417266047,230.74411980489145,0.13976332516694998
3,230.939043295008,230.92695327056603,230.90869658388456,0.056179731985782265,230.93904329500788,230.92695327056623,230.90869658388456,0.05617973198589671
4,230.83409137334095,230.4614156992342,230.31715768484398,0.25628400612308666,230.83409137334195,230.46141569923626,230.3171576848407,0.25628400612187785
5,230.90624338246363,230.93673402482221,230.9382788007619,0.047897603636878776,230.9062433824637,230.93673402482227,230.9382788007617,0.04789760363702219
6,230.9190727940631,230.91467878370852,230.80182454667133,0.15422526669617634,230.9190727940587,230.91467878371174,230.80182454667246,0.1542252666949313
7,230.84509433277267,230.82879342756857,230.59487260782646,0.27400571178762884,230.8450943327674,230.82879342756794,230.59487260783266,0.2740057117931752
8,230.93211272184698,230.92695327056603,230.90869658388456,0.0526409702692443,230.93211272184683,230.92695327056623,230.90869658388456,0.052640970269346804
9,230.9411311045382,230.86639745298345,230.76455868030018,0.323616878879924,230.941131104538,230.8663974529831,230.76455868030092,0.32361687888030455
10,230.65199666965864,229.6447859232293,229.24952930529875,0.6964894754639998,230.6519966696614,229.6447859232349,229.2495293052899,0.6964894754606503
11,230.7928021326157,230.92543229421514,230.93215211484764,0.2083545758205948,230.79280213261598,230.92543229421557,230.93215211484687,0.20835457582100636
12,230.91532199577253,230.90847338435984,230.80103963382095,0.14656652243409835,230.91532199576787,230.90847338436333,230.8010396338221,0.14656652243119045
13,230.8152318403168,230.76748891845781,230.45578460641818,0.3543477441033044,230.81523184031008,230.7674889184568,230.4557846064263,0.3543477441112626
14,230.9418671738948,230.8395402087507,230.698905418107,0.44512816069334293,230.94186717389468,230.83954020874984,230.69890541810813,0.44512816069370803
15,230.65199666965864,229.5593358368615,229.24952930529875,0.6197640366429296,230.6519966696614,229.55933583686706,229.2495293052899,0.6197640366402176
16,230.5874924605178,229.32563624206767,228.73065755520588,1.0034729772513762,230.58749246052116,229.3256362420758,228.73065755519372,1.0034729772456779
17,230.70217450228336,230.92543229421506,230.9321521148477,0.31901613091166064,230.70217450228358,230.92543229421565,230.93215211484682,0.31901613091194714
18,230.9117692451954,230.90575069637634,230.80052713671012,0.15224320636939154,230.91176924519073,230.9057506963797,230.80052713671157,0.15224320636540645
19,230.77959182735873,230.69041544973018,230.28092641299568,0.46497207880763247,230.77959182735057,230.6904154497283,230.2809264130062,0.4649720788183658
20,230.93830370304212,230.7982376553959,230.6971917118126,0.47591536324259015,230.93830370304232,230.79823765539444,230.69719171181399,0.47591536324249994
21,230.52208030325556,229.00385155854033,228.20522582867466,1.316945426514082,230.52208030325977,229.003851558551,228.2052258286589,1.316945426505955
22,230.6596765539648,230.92543229421503,230.93215211484772,0.3744769836668277,230.659676553965,230.9254322942157,230.93215211484684,0.37447698366703097
23,230.91015454617633,230.90233115253199,230.79939860433993,0.14542894029528117,230.91015454617184,230.90233115253508,230.79939860434155,0.14542894029027892
