node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.85413473603342,230.8380832136842,230.96702908483445,0.10955148063333475,230.8541346609466,230.8380832533042,230.96702907193418,0.10955173705859533
2,229.04417038884242,228.70232481319005,231.53441158187442,3.540635123321287,229.04416874342382,228.70232571697755,231.53441131463745,3.5406434108252536
3,226.6845558896685,225.9159209462892,232.27550344996817,8.021566328900303,226.68455219780313,225.91592297026682,232.27550285155803,8.02158510484306
4,224.96096070692036,223.8891387025235,232.84633225118193,11.347720143879485,224.96095550794573,223.88914154519264,232.84633140331565,11.347747010932029
5,223.29264250839782,221.96256599503246,233.47130148307716,14.671786102267768,223.29263584170047,221.96256962454942,233.4713003952549,14.671820793451909
6,222.3518665131117,221.10499252586678,233.80311568629728,16.400238806723483,222.35185895001266,221.10499655518626,233.8031144423899,16.400280670756057
7,220.86260013068676,219.74650833900978,234.3292762857512,19.162052431188783,220.8625911490873,219.74651299873642,234.3292747948876,19.162105752780125
8,218.50789224289443,217.59619177626686,235.16347726206448,23.572596248068255,218.5078810199225,217.59619742634436,235.16347538103446,23.57266783831449
9,230.93513264484187,230.92463161577274,230.9288723917016,0.009933590912250084,230.93513264484187,230.92463161577274,230.9288723917016,0.009933590912326845
10,230.86976986843496,230.72166360668191,230.78113043274828,0.20506700639052386,230.86976986843493,230.72166360668183,230.78113043274837,0.20506700639062747
11,230.81832563325014,230.56037330292202,230.68173140970256,0.3437395370859057,230.81832563325003,230.5603733029218,230.68173140970268,0.3437395370861832
12,230.83599949474905,230.61669297383307,230.6941644628843,0.3177050526737353,230.835999494749,230.616692973833,230.69416446288434,0.3177050526737645
13,230.78839769870643,230.4665410679582,230.6239049647985,0.42445648861238794,230.78839769870623,230.46654106795782,230.62390496479856,0.4244564886127307
14,230.73854732911167,230.31024523837334,230.52758365219898,0.5589330790079455,230.73854732911147,230.31024523837277,230.527583652199,0.5589330790083411
15,230.9192923510972,230.9219416845315,230.92920306087365,0.009364114668504998,230.9192923510972,230.92194168453153,230.92920306087365,0.009364114668546168
16,230.6870286516757,230.7188085287668,230.80658558599373,0.1824856008457434,230.68702865167566,230.71880852876703,230.80658558599376,0.18248560084590632
17,230.53017180909507,230.66099067621937,230.72505218369133,0.24502519906880443,230.53017180909507,230.66099067621968,230.72505218369142,0.2450251990688084
18,230.40996066820006,230.6071644999434,230.62952264167888,0.28055410693789157,230.4099606682002,230.60716449994376,230.62952264167916,0.28055410693788924
19,229.8531604282301,230.24482819346224,229.7039155047685,0.334872515226931,229.85316042823135,230.244828193463,229.70391550476938,0.33487251522315536
20,229.79265458809877,230.20544744224225,229.603308041195,0.39802507153110256,229.7926545881002,230.20544744224304,229.60330804119593,0.3980250715271599
21,229.79265458809869,230.2054474422423,229.60330804119496,0.3980250715311022,229.79265458810016,230.2054474422431,229.60330804119596,0.3980250715273088
22,230.93690915751938,230.938693835894,230.94009791111364,0.002379988328335987,230.93690915751938,230.938693835894,230.94009791111364,0.0023799883283594013
23,230.6937391309798,230.83298868269486,230.9393259033392,0.27215115849919014,230.6937391309797,230.83298868269492,230.93932590333935,0.2721511585006183
24,230.69335570779643,230.83257283281011,230.9390957974609,0.2715439230393478,230.69335570779626,230.83257283281011,230.9390957974611,0.27154392304118063
25,230.93710654052305,230.9248162510136,230.93698746210677,0.008678424753655784,230.93710654052308,230.92481625101362,230.9369874621068,0.008678424753500136
26,230.88766954764475,230.67734711929452,230.88842523130754,0.2202069834535635,230.88766954764492,230.67734711929475,230.8884252313075,0.22020698344859746
27,230.49935350958773,228.8117357339626,230.55743454765113,1.8855669354433593,230.49935350958918,228.81173573396444,230.55743454765047,1.8855669354007292
28,230.46634566128554,228.65313286026404,230.52931988616595,2.0271811576602086,230.46634566128708,228.65313286026603,230.52931988616524,2.027181157614451
29,230.36865591924285,228.16391046539235,230.43347339138631,2.444976020331183,230.36865591924465,228.16391046539474,230.4334733913854,2.444976020275991
30,230.36865591924314,228.16391046539238,230.43347339138643,2.444976020331183,230.3686559192446,228.16391046539485,230.43347339138566,2.444976020276008
31,218.50789224289443,217.59619177626686,235.16347726206448,23.572596248068255,218.5078810199225,217.59619742634436,235.16347538103446,23.572667838314494
32,216.62391354878437,215.9970679674779,235.91874742081114,27.156269641261932,216.62390051160864,215.99707435854447,235.9187451754744,27.156356628622518
33,230.72863299578106,230.27883434351943,230.5082595185488,0.5859629063106198,230.72863299578088,230.27883434351887,230.50825951854884,0.5859629063109797
34,229.79265458809869,230.2054474422423,229.60330804119496,0.3980250715311022,229.79265458810016,230.2054474422431,229.60330804119596,0.3980250715273089
35,230.69335570779646,230.83257283281011,230.9390957974609,0.2715439230393478,230.69335570779626,230.83257283281011,230.9390957974611,0.27154392304118063
36,230.36865591924314,228.16391046539238,230.43347339138643,2.444976020331183,230.3686559192446,228.16391046539482,230.43347339138566,2.4449760202759925
37,226.67553005931416,225.8994676013609,232.263618862937,8.018018534325451,226.6755263656585,225.8994696275805,232.26361826687352,8.018037203191515
38,224.9519717112458,223.86048326492994,232.81617316651327,11.326437276463178,224.9519665092748,223.8604861132635,232.81617231581137,11.326464176165707
39,223.1788670491716,221.6551352974399,233.52823547065682,14.902184197644898,223.17886033539367,221.65513902143948,233.5282343843578,14.902217885376757
40,218.03783117526572,217.16337701479955,235.33079770981274,24.468482487304488,218.0378195008143,217.16338285091265,235.33079574429868,24.46855779252826
41,217.64636412699812,216.80281542127415,235.47025555704278,25.21613224115891,217.64635207664898,216.80282141200425,235.47025352117268,25.216210645438103
42,216.62391354878434,215.9970679674779,235.91874742081112,27.156269641261932,216.62390051160864,215.99707435854447,235.9187451754744,27.156356628622568
43,230.81134922244317,230.54007166446854,230.63068572540868,0.40009778872634894,230.8113492224431,230.5400716644685,230.6306857254087,0.40009778872632146
44,230.72863299578106,230.27883434351943,230.5082595185488,0.5859629063106198,230.72863299578088,230.27883434351887,230.50825951854884,0.5859629063109797
45,230.6618930767639,230.67037016637707,230.7928915561184,0.22380332022341767,230.6618930767639,230.6703701663773,230.79289155611843,0.22380332022356741
46,230.49578691687967,230.65223403709368,230.71934701076452,0.2606143539049193,230.49578691687967,230.65223403709396,230.71934701076464,0.2606143539048603
47,230.38020996036767,230.59670076670304,230.6183894854546,0.2984021707492226,230.3802099603678,230.5967007667034,230.61838948545488,0.2984021707492036
48,229.78598746941,230.20110800913656,229.59222184350358,0.4043864896119827,229.78598746941142,230.20110800913739,229.59222184350452,0.40438648960803214
49,229.76017878094441,230.18377556714407,229.543085818192,0.42349563399221113,229.76017878094586,230.1837755671449,229.54308581819296,0.42349563398830176
50,230.55316576255743,230.77798094224548,230.9393259033392,0.3709093595267403,230.55316576255737,230.77798094224553,230.93932590333935,0.37090935952813564
51,230.69316399656768,230.83236490829222,230.93898074465272,0.2712404431715564,230.6931639965675,230.83236490829228,230.93898074465295,0.27124044317339135
52,230.36104812826596,228.12580936956672,230.42600994465212,2.4775222996080717,230.36104812826773,228.12580936956908,230.42600994465124,2.4775222995521915
