node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.92328699393127,230.91943803835383,230.82800505001723,0.12871405670161623,230.92328699393337,230.9194380383535,230.82800505001552,0.12871405669877362
2,230.87829691028415,230.85678417262403,230.74411980505906,0.13976332505912767,230.87829691022907,230.8567841726603,230.7441198048878,0.139763325164963
3,230.93904329500856,230.92695327057274,230.9086965838838,0.05617973198278599,230.9390432950077,230.92695327056592,230.90869658388507,0.05617973198596884
4,230.83407893054886,230.46141748424012,230.31717693183163,0.25627347171270937,230.83409139739322,230.46141567933594,230.31715768105443,0.25628402179853343
5,230.90624338246377,230.93673402482224,230.93827880076165,0.04789760363700882,230.9062433824635,230.9367340248222,230.93827880076205,0.04789760363667784
6,230.91907279406126,230.914678783705,230.80182454667747,0.15422526670126743,230.91907279406368,230.91467878370435,230.80182454667585,0.1542252666981979
7,230.84509433285496,230.82879342751286,230.59487260808407,0.27400571164371607,230.84509433277225,230.82879342756755,230.59487260782757,0.2740057117894014
8,230.93211272184755,230.9269532705727,230.9086965838838,0.052640970267766,230.9321127218467,230.92695327056592,230.90869658388507,0.05264097026942235
9,230.94113110454182,230.86639745302068,230.76455868029555,0.32361687886180335,230.94113110453745,230.86639745298186,230.76455868030274,0.3236168788808284
10,230.6519628550475,229.64479041611963,229.24958148800218,0.6964608466542714,230.65199673502082,229.64478586939805,229.24952929524858,0.6964895180642043
11,230.79280213261615,230.92543229421548,230.93215211484673,0.20835457582078906,230.79280213261518,230.92543229421523,230.9321521148482,0.20835457581987077
12,230.91532199577057,230.90847338435566,230.80103963382788,0.14656652243980545,230.91532199577335,230.9084733843551,230.801039633826,0.14656652243672566
13,230.81523184042456,230.76748891838483,230.45578460675486,0.3543477439323535,230.81523184031602,230.76748891845665,230.45578460641977,0.3543477441055194
14,230.94186717389982,230.8395402088019,230.69890541810045,0.4451281606681793,230.94186717389368,230.83954020874882,230.6989054181102,0.44512816069473593
15,230.65196285504751,229.55934032038766,229.2495814880022,0.6197380850297882,230.65199673502082,229.55933578302188,229.24952929524858,0.6197640901712783
16,230.58744836199133,229.32564185176258,228.73072563358392,1.0034342373925729,230.58749254600892,229.3256361716428,228.73065754240776,1.0034730265082183
17,230.7021745022838,230.9254322942155,230.9321521148467,0.3190161309116264,230.7021745022829,230.92543229421508,230.93215211484838,0.31901613091090847
18,230.91176924519363,230.90575069637168,230.80052713671756,0.15224320637539265,230.91176924519658,230.90575069637103,230.80052713671571,0.15224320637276584
19,230.7795918274988,230.69041544963468,230.28092641343198,0.4649720786082966,230.77959182735762,230.6904154497287,230.2809264129978,0.4649720788103927
20,230.93830370304917,230.79823765546558,230.69719171180347,0.47591536319893024,230.93830370304067,230.79823765539368,230.69719171181646,0.47591536324402134
21,230.52202577607713,229.00385818639094,228.2053099877729,1.3168966488365175,230.52208040915798,229.0038514713671,228.2052258131687,1.3169454831713943
22,230.65967655396528,230.92543229421548,230.9321521148467,0.3744769836667115,230.65967655396437,230.92543229421508,230.93215211484844,0.37447698366606225
23,230.9101545461751,230.90233115252659,230.79939860434774,0.14542894030160963,230.9101545461785,230.90233115252585,230.79939860434558,0.1454289402993279
24,230.70359173912684,230.6607980878385,230.1451982390967,0.595740460340459,230.7035917389588,230.66079808795178,230.145198238584,0.5957404606045519
25,230.9338317499815,230.74640302486137,230.69504373127944,0.5203765855092501,230.93383174997012,230.74640302476612,230.69504373129615,0.5203765855813997
26,230.52202577607713,228.99303053928796,228.22266483344941,1.315725451065114,230.52208040915798,228.99302380877907,228.2225806713565,1.3157737850362223
27,230.52202577607716,229.00385818639091,228.2053099877729,1.315190137516906,230.52208040915798,229.00385147136708,228.20522581316868,1.3152389085693714
28,230.46433894398868,228.73754476779217,227.76052643544517,1.5883463877568553,230.46440220991877,228.7375373354872,227.7604288569713,1.5884038191144965
29,230.5693360875566,230.92543229421537,230.9321521148467,0.4955105594969632,230.56933608755563,230.92543229421506,230.9321521148484,0.4955105594965438
30,230.9087592971659,230.89937682530908,230.7984233679365,0.14342927942800549,230.90875929717083,230.89937682530788,230.79842336793334,0.14342927942646735
31,230.70359173912686,230.65419012287245,230.12439788841598,0.5934605430630452,230.7035917389588,230.6541901229865,230.1243978879017,0.5934605433142912
32,230.63062797097365,230.63782195179286,229.98188770643202,0.7472343751745065,230.63062797077052,230.6378219519301,229.98188770582385,0.7472343755052153
33,230.93183636967623,230.72327365446878,230.69408624707097,0.5419274592193657,230.93183636966359,230.72327365436323,230.69408624708925,0.5419274593045493
34,230.46433894398868,228.59789723894917,227.76052643544517,1.43139799247917,230.4644022099188,228.59788983154488,227.76042885697126,1.4314531979848037
35,230.4640912183487,228.73754476779214,227.7605264354452,1.5844776318837628,230.4641544852888,228.7375373354872,227.7604288569713,1.5845349072758694
36,230.40659109924158,228.52927654284267,227.32078092043054,1.9449172537447093,230.4066627560474,228.52926853786732,227.3206701749782,1.9449833647452612
37,230.5693360875566,230.9254322942153,230.9321521148467,0.4955105594969631,230.5693360875556,230.92543229421503,230.9321521148484,0.49551055949661843
38,230.90604975171016,230.9036568651856,230.79763549127833,0.16017175295734495,230.90604975171618,230.9036568651849,230.7976354912738,0.16017175295525926
39,230.6304382030412,230.63782195179286,229.98188770643202,0.7445349320819111,230.63043820283812,230.6378219519301,229.98188770582385,0.744534932412767
40,230.55658267112116,230.5791840853311,229.81792968488077,0.8636569597282979,230.5565826708816,230.5791840854905,229.81792968417818,0.863656960112415
41,230.92977888281038,230.5526644329659,230.68022515322102,0.6849780482417837,230.9297788827966,230.552664432778,230.68022515324012,0.6849780484068813
42,229.86297109160427,228.52927654284264,227.32078092043056,2.656724437934824,229.8630429547077,228.52926853786735,227.3206701749782,2.6567862471432133
43,230.4065910992416,228.5292765428427,227.32078092043054,1.9449172537447093,230.4066627560474,228.52926853786732,227.3206701749782,1.9449833647452615
44,230.55839908121456,228.30945404812172,226.89118575268293,2.1362619131613307,230.5584790366236,228.30944558494627,226.89106180918515,2.13634007784462
45,230.56933608755656,230.92543229421523,230.93215211484667,0.4955105594969631,230.5693360875556,230.925432294215,230.93215211484838,0.49551055949667255
46,230.90447644255343,230.90702167493626,230.7970831014597,0.17174958013696703,230.90447644256028,230.90702167493555,230.79708310145443,0.17174958013491004
47,230.55658267112116,230.5734925560946,229.83163912414375,0.8537951272667675,230.5565826708816,230.5734925562525,229.83163912344287,0.8537951276532253
48,230.4790645019508,230.52606788331465,229.65856741885761,0.9762359933848791,230.4790645016758,230.52606788349593,229.65856741806672,0.9762359938201229
49,230.92977888281035,229.8314735622517,230.68022515322102,1.49348526303037,230.9297788827966,229.83147356184313,230.68022515324012,1.4934852635267257
50,230.49362214669787,228.30945404812178,226.89118575268293,2.208366779374851,230.49370212870048,228.30944558494625,226.89106180918515,2.2084442799619177
51,230.55839908121456,228.30945404812178,226.89118575268293,2.1362619131613307,230.5584790366236,228.30944558494627,226.89106180918515,2.13634007784462
52,230.73166391593887,228.09187239192377,226.46915098732094,2.3525625692942325,230.73175198379704,228.09186359677153,226.4690140427572,2.3526518163828496
53,230.56933608755656,230.92543229421523,230.93215211484667,0.49551055949696315,230.5693360875556,230.925432294215,230.93215211484838,0.4955105594966729
