node,vR_us,vS_us,vT_us,vN_us,vR_br,vS_br,vT_br,vN_br
0,230.94010767585033,230.9401076758503,230.9401076758503,0.0,230.94010767585033,230.9401076758503,230.9401076758503,0.0
1,230.9232870281186,230.91943800436943,230.82800526665395,0.1287139401301734,230.9232869939384,230.9194380383524,230.82800505001063,0.128714056694546
2,230.8783076682292,230.8567539108266,230.74417716390653,0.13972582637053577,230.8782969102266,230.85678417265947,230.74411980489162,0.13976332516757586
3,230.93904379811042,230.92695557447016,230.90869643873947,0.05618082837068149,230.93904329500836,230.92695327056597,230.90869658388436,0.056179731985390086
4,230.82877418905363,230.45669628807798,230.3284614865431,0.2504637943682762,230.83409137334144,230.461415699236,230.31715768484128,0.2562840061210033
5,230.90624383527629,230.93673398866633,230.93827881004333,0.04789701966637832,230.90624338246346,230.93673402482227,230.9382788007619,0.0478976036366498
6,230.9190728365254,230.91467874165335,230.80182481375243,0.15422511771508152,230.91907279406996,230.9146787837028,230.80182454666976,0.15422526669285364
7,230.84511051913992,230.82874789801912,230.59495862575048,0.27394873629930167,230.84509433276904,230.8287934275663,230.5948726078328,0.2740057117935901
8,230.93211322503356,230.92695557447016,230.90869643873947,0.05264274029688116,230.93211272184737,230.92695327056597,230.90869658388436,0.052640970268818664
9,230.94113390468542,230.8664103620822,230.76455787849892,0.32362255699002695,230.94113110453875,230.86639745298362,230.76455868029956,0.32361687887945767
10,230.6375456195776,229.63180495625335,229.28022621496592,0.6806721941064481,230.65199666965987,229.64478592323425,229.24952930529147,0.6964894754582833
11,230.7928041025349,230.92543213693705,230.9321521552196,0.2083520355485935,230.79280213261484,230.9254322942154,230.93215211484795,0.20835457581975358
12,230.91532204579119,230.90847334333904,230.8010399094017,0.14656646117346744,230.91532199578077,230.9084733843524,230.80103963381956,0.14656652243245386
13,230.81525312969492,230.76742901956302,230.45589702980217,0.35427422198162745,230.81523184031204,230.76748891845497,230.45578460642636,0.354347744111294
14,230.94187097478687,230.83955794281252,230.6989043444581,0.4451359216763906,230.94186717389542,230.839540208751,230.69890541810622,0.445128160692865
15,230.6375456195776,229.5463392422088,229.28022621496592,0.6041766594346792,230.65199666965987,229.55933583686647,229.24952930529147,0.619764036638076
16,230.5686417878568,229.30858552159125,228.77072768913254,0.9827783751758875,230.58749246051872,229.32563624207478,228.73065755519627,1.0034729772429465
17,230.7021776786675,230.92543213693713,230.93215215521963,0.31901250652363966,230.70217450228245,230.9254322942154,230.93215211484787,0.3190161309109194
18,230.91176930171628,230.90575065444378,230.80052741966014,0.15224321854480743,230.91176924520485,230.90575069636748,230.80052713670892,0.1522432063697181
19,230.7796196862437,230.69033734620265,230.2810719971862,0.4648794431738516,230.77959182735322,230.69041544972592,230.2809264130061,0.46497207881796127
20,230.93830880377072,230.7982626172423,230.69718967847714,0.47592168383840383,230.9383037030429,230.7982376553961,230.69719171181174,0.4759153632420279
21,230.49876787609398,228.9826245023717,228.25479388960423,1.291343491535682,230.52208030325616,229.00385155854983,228.20522582866252,1.316945426502573
22,230.6596802961766,230.92543213693716,230.93215215521963,0.37447282424145095,230.6596765539639,230.92543229421537,230.93215211484784,0.3744769836661019
23,230.9101546105991,230.90233110914508,230.7993988965718,0.1454290103923336,230.91015454618733,230.90233115252113,230.79939860433882,0.14542894029830236
24,230.7036245640355,230.66070614321168,230.1453701539561,0.595628058806307,230.70359173895423,230.66079808794788,230.14519823859365,0.5957404606131216
25,230.93383848198872,230.74643705772522,230.69504049324695,0.5203784574324591,230.93383174997257,230.74640302476905,230.69504373129067,0.5203765855795873
26,230.49876787609398,228.97180566639307,228.2721407138302,1.290181754789737,230.52208030325616,228.99302389596227,228.22258068685426,1.3157737259059723
27,230.498767876094,228.98262450237175,228.2547938896042,1.289670093484468,230.52208030325616,229.00385155854983,228.20522582866252,1.3152388519739893
28,230.43739855718712,228.71276646976773,227.81791244367307,1.5586580905494132,230.46440208680238,228.73753743707312,227.7604288743484,1.588403756788247
29,230.56934103275378,230.92543213693716,230.93215215521963,0.4955052344780677,230.56933608755517,230.92543229421534,230.93215211484772,0.49551055949663214
30,230.90875936841925,230.8993767806721,230.79842366818139,0.1434293978028629,230.90875929717802,230.89937682530322,230.79842336792782,0.1434292794270404
31,230.7036245640355,230.6540974807045,230.12457108066732,0.5933487554806878,230.70359173895423,230.65419012298256,230.12439788791133,0.5934605433229321
32,230.63066765215981,230.6377125789807,229.98209157154298,0.7471002339846632,230.63062797076506,230.6378219519259,229.98188770583474,0.747234375514742
33,230.9318438295852,230.72331173507567,230.69408247137167,0.541926605368483,230.93183636966612,230.72327365436612,230.69408624708362,0.5419274593028307
34,230.43739855718712,228.57305088026698,227.81791244367307,1.4015350742990493,230.46440208680235,228.59788993314618,227.7604288743484,1.431453123015536
35,230.4371501487869,228.71276646976776,227.81791244367307,1.5548216496284066,230.4641543621726,228.73753743707312,227.7604288743484,1.5845348445270218
36,230.3760667974285,228.5009849409838,227.38592423772442,1.9111479957831767,230.40666261580995,228.52926865399436,227.32067019388862,1.9449832975524013
37,230.56934103275378,230.9254321369372,230.93215215521965,0.49550523447806766,230.56933608755517,230.9254322942153,230.9321521148477,0.49551055949665285
38,230.90604983198978,230.90365681590538,230.7976358020582,0.16017189074736166,230.9060497517222,230.90365686517967,230.7976354912695,0.16017175295676017
39,230.63047786950517,230.6377125789807,229.982091571543,0.744400805664117,230.63043820283266,230.6378219519259,229.98188770583474,0.744534932422282
40,230.55662975268336,230.57905528712024,229.8181652117662,0.863499945598211,230.5565826708751,230.57918408548647,229.81792968419,0.8636569601227311
41,230.92978702706424,230.55274347655663,230.68021990319505,0.684954687395167,230.9297788827991,230.55266443278086,230.68022515323452,0.6849780484059932
42,229.83242025306578,228.5009849409838,227.38592423772442,2.6229767889758264,229.86304281460403,228.52926865399436,227.32067019388862,2.6567861572942264
43,230.3760667974285,228.50098494098384,227.38592423772442,1.911147995783177,230.40666261580995,228.52926865399436,227.32067019388862,1.9449832975524013
